PC1,PC2,PC3,FEDRates,Cluster
-1.152157780463974,-0.4404889425243471,1.2862996728426843,9.34,1
-0.8117003768486665,-0.8681871342472213,1.4393529740349469,9.47,1
-1.272414560395779,0.5728469313588095,1.150517861464968,9.56,1
-1.1868664168863583,0.3473873417849737,1.0718988458151626,9.59,1
-0.9263938997455636,-0.3408530965119268,1.181628778025843,9.91,1
-1.107440730089568,0.3246297933682616,1.0491586986098769,10.29,1
-0.7822049394852038,-0.2438149359711561,1.090671523890629,10.32,1
-1.0623555586076556,-0.010575045246782,0.7241414454219546,11.06,1
-1.1105872817218698,0.1975303911561927,0.8672956802599949,11.23,1
-1.1056159421523135,0.1911134497910659,0.8711617459731954,11.64,1
-1.0780766320659314,0.3292419523988712,0.8235662886070872,11.3,1
-0.7601273271571741,-0.22018126332233,1.0651704476982593,9.99,1
-0.456331602431697,-0.919808673761679,1.1055239004937398,9.43,1
-0.6825051629228955,-0.740922375696017,0.9572275027944812,8.38,1
-0.5601126554910226,-0.6510649948206247,1.0362562275486495,8.35,1
-1.2656165144765064,0.3827226546643079,0.4626715827562419,8.5,1
-1.0181781723240146,0.0264584738256664,0.6453732168753602,8.58,1
-0.9685806804545636,0.1572978750026726,0.7642660965428658,8.27,1
-0.6470206123395904,-0.2535418719569936,0.958042545160631,7.97,1
-1.0240509794634525,-0.1096297282709868,0.6892618471093916,7.53,1
-0.3428890246345985,-0.7726178309356623,1.2317451485933248,7.88,1
-0.5939200709958345,-0.5580973972813241,0.8354302481672512,7.9,1
-0.6181070990830262,-0.3893737932319799,0.8528813867645355,7.92,1
-0.6281441728053782,-0.2113530799676886,0.8639859261257793,7.99,1
-1.0765990771158784,0.0043864012420568,0.3620721569681952,8.05,1
-0.5062777881302518,-0.4580658620477937,0.8777741285596505,8.27,1
-0.7186627047846037,-0.568490330107886,0.300590746009211,8.14,1
-0.2553648204978626,-1.849689152846006,0.7677533042543079,7.86,3
-0.5026743566062857,-1.946778783768596,0.4656427725027663,7.48,3
-0.5134602668842958,-1.4764057427160675,0.5031459577191854,6.99,3
-0.171622537640184,-1.0129642290164873,1.0649604672627115,6.85,3
-0.5353065262150964,-0.2746355952823753,0.8530424185947661,6.92,3
-0.5046424039170854,-1.1556005465973276,0.510220454794285,6.56,3
-0.3746057975803553,-0.96140414735029,0.6494146319215506,6.17,3
-0.6318956000461516,-0.3156961661352385,0.5894328580682615,5.89,3
-0.5523985280484479,-0.9528297100051576,0.4906107591946613,5.85,3
-0.6588999306767932,-0.8628117678919818,0.3378682548411735,6.04,3
-0.4886566855840738,-0.9885548637545204,0.3228337476929209,6.91,3
-1.0760609759034314,0.730432944879654,0.209331257877534,6.43,3
-0.4980238111158659,-0.1797102933096372,0.6156004755438966,6.1,3
-0.6374356485846271,0.075837826729155,0.5271195005290187,6.13,3
-0.8623879780512679,0.4421386251762708,0.1647072174588866,6.37,3
-0.754343590185717,0.0632044503047346,0.1855796000013214,6.85,3
-0.3486645546484564,-0.2628792669747087,0.4957570397857213,6.73,3
-0.624152894953421,-0.1544080239105292,0.1293707641538492,6.58,3
-0.483232849572476,0.1607889231078784,0.3126420757042649,6.73,3
-0.9542588113301488,0.5412629120027803,-0.1710657560730924,7.22,3
-0.4805128105361716,-0.2249291189686709,0.1608007279200768,7.29,3
-0.3148499591169613,-0.6324344909963822,0.1237479916371822,6.69,3
-0.1690754332703072,-0.8865410704440916,0.1623171620565807,6.77,3
-0.3683192949435005,-0.2060642324883357,0.1248000703849835,6.83,3
-0.2669482108859128,-0.289133892778518,0.2162330530966841,6.58,3
